RowId,index,ra,dec,type,const,mag,name,rarad,decrad,bf,bayer,flam,spect,lum,ci,gl,comp,hyg_id,comp_primary,base,id,r1,r2,angle,dso_source,id1,cat1,id2,cat2,dupid,dupcat,display_mag
STAR-3887,,6.327357,-63.82359,Star,Pic,6.86,,,,,,,G8III/IV,20.73958204453832,0.905,,1,29991,29991,,,,,,,,,,,,,
STAR-3888,,6.327499,68.676909,Star,Cam,6.86,,,,,,,G0,245.2449086072021,0.807,,1,29992,29992,,,,,,,,,,,,,
STAR-3889,,6.327826,16.013249,Star,Ori,6.61,,,,,,,F8V,1.4996848355023729,0.562,,1,29994,29994,,,,,,,,,,,,,
STAR-3890,,6.328043,-34.396591,Star,Col,5.76,,,,,,,B9V,67.60829753919815,-0.08,,1,29996,29996,,,,,,,,,,,,,
STAR-3891,,6.328555,-7.822908,Star,Mon,5.27,,,,7    Mon,,7.0,B2.5V,485.735673287854,-0.177,,1,30000,30000,,,,,,,,,,,,,
STAR-3892,,6.329986,-39.486485,Star,Col,6.61,,,,,,,K2/K3III,126.70682249985478,1.254,,1,30006,30006,,,,,,,,,,,,,
STAR-3893,,6.332602,-13.993014,Star,CMa,6.67,,,,,,,B9V,18.382306368835305,-0.026,,1,30015,30015,,,,,,,,,,,,,
STAR-3894,,6.333222,-2.944493,Star,Ori,4.91,,,,,,,M1III,191.9552523761379,1.613,,1,30020,30020,,,,,,,,,,,,,
STAR-3895,,6.333296,-61.329615,Star,Pic,6.95,,,,,,,K1/K2III,27.340093785056094,1.171,,1,30021,30021,,,,,,,,,,,,,
STAR-3896,,6.334507,14.651127,Star,Ori,5.67,,,,,,,K3Ib,155.3102075232846,1.578,,1,30026,30026,,,,,,,,,,,,,
STAR-3897,,6.335018,-48.741093,Star,Pup,6.61,,,,,,,G4V,1.2485329261594944,0.657,,1,30031,30031,,,,,,,,,,,,,
STAR-3898,,6.33523,-7.871984,Star,Mon,6.94,,,,,,,A5,21.91795343844129,0.308,,1,30032,30032,,,,,,,,,,,,,
STAR-3899,,6.338093,7.718826,Star,Ori,6.76,,,,,,,B9,45.54073126832542,-0.04,,1,30047,30047,,,,,,,,,,,,,
STAR-3900,,6.338553,-30.063367,Star,CMa,3.02,,,,1Zet CMa,Zet,1.0,B2.5V,666.1929002234552,-0.16,,1,30049,30049,,,,,,,,,,,,,
STAR-3901,,6.340822,-49.104323,Star,Pup,6.81,,,,,,,K1III,95.94006315159336,1.18,,1,30059,30059,,,,,,,,,,,,,
STAR-3902,,6.3431,-23.637963,Star,CMa,6.49,,,,,,,K0III,61.54602373713163,1.132,,1,30068,30068,,,,,,,,,,,,,
STAR-3903,,6.3434,-34.144144,Star,Col,5.55,,,,,,,B3V,1858.66020268854,-0.182,,1,30070,30070,,,,,,,,,,,,,
STAR-3904,,6.344458,-9.891005,Star,Mon,6.9,,,,,,,A2,76.77149537690276,0.097,,1,30076,30076,,,,,,,,,,,,,
STAR-3905,,6.345018,72.14596,Star,Cam,6.57,,,,,,,G5,111.48078033638414,1.297,,1,30080,30080,,,,,,,,,,,,,
STAR-3906,,6.347354,-4.595474,Star,Mon,6.75,,,,,,,A5,6.918309709189363,0.281,,1,30093,30093,,,,,,,,,,,,,
STAR-3907,,6.34781,11.756222,Star,Ori,6.54,,,,,,,B5III,1742.6091898259306,-0.104,,1,30096,30096,,,,,,,,,,,,,
STAR-3908,,6.349002,-29.670868,Star,CMa,6.99,,,,,,,F3V,14.561294986160563,0.372,,1,30101,30101,,,,,,,,,,,,,
STAR-3909,,6.351509,-11.817324,Star,CMa,6.32,,,,,,,K5,139.7011560541224,1.676,,1,30117,30117,,,,,,,,,,,,,
STAR-3910,,6.35331,29.540816,Star,Aur,6.41,,,,,,,A1Vs,27.064499490384808,0.048,,1,30127,30127,,,,,,,,,,,,,
STAR-3911,,6.35497,42.340299,Star,Aur,6.79,,,,,,,A0,37.77461093882191,0.015,,1,30132,30132,,,,,,,,,,,,,
STAR-3912,,6.356865,-11.773238,Star,CMa,5.48,,,,,,,B1Vpe SB,639.1458891858142,0.002,,1,30141,30141,,,,,,,,,,,,,
STAR-3913,,6.356953,-60.02197,Star,Pic,6.96,,,,,,,A7III,50.02648624210057,0.233,,1,30142,30142,,,,,,,,,,,,,
STAR-3914,,6.357158,2.268522,Star,Mon,6.3,,,,,,,A4.5V,22.428488158692844,0.251,,1,30144,30144,,,,,,,,,,,,,
STAR-3915,,6.357201,17.763503,Star,Gem,6.32,,,,,,,G9:III:,44.58615279480704,1.1,,1,30145,30145,,,,,,,,,,,,,
STAR-3916,,6.361317,-56.362309,Star,Pic,6.79,,,,,,,M3III,245.9234823846232,1.654,,1,30164,30164,,,,,,,,,,,,,
STAR-3917,,6.361606,-8.236049,Star,Mon,6.96,,,,,,,M...,100.27669229965878,1.591,,1,30165,30165,,,,,,,,,,,,,
STAR-3918,,6.36249,12.861938,Star,Ori,6.68,,,,,,,G5,52.86886658508811,0.947,,1,30172,30172,,,,,,,,,,,,,
STAR-3919,,6.362811,53.452179,Star,Aur,5.34,,,,45    Aur,,45.0,F5III...,22.32543861616743,0.448,,1,30174,30174,,,,,,,,,,,,,
STAR-3920,,6.363904,-51.237708,Star,Car,6.74,,,,,,,A5V,8.961898068616136,0.227,,1,30179,30179,,,,,,,,,,,,,
